"Name","Dscrptn","DIMASit","DIMAPlt","BLMAlaP","YrExclE","BLMPlot","EstblsD","Re_rdDt","y_proj","x_proj","TtlTrns","GI_Ca_B","SC_1_d_","SS_1_d_","SoilSrs","EclgclS","EclgcSN","x","y","id","yearStart"
"Crescent Canyon",NA,"MoabBLMExclosures","Crescent Canyon_In","Crescent Canyon Allotment - Crescent Canyon","2012","In","2014-06-16","2017-06-13",4315021,608589,10,5,1,1,"Trook","Desert Sandy Loam (Four-Wing Saltbush)","035XY118UT",-109.74638505109,38.9774455584365,7,20140616
"Floy Bench",NA,"MoabBLMExclosures","Floy Bench_In","Floy Canyon - Exclosure 1","2012","In","2014-06-18","2017-06-16",4312100,593612,10,5,1,1,"Hostage","Desert Loam (Shadscale)","035XY109UT",-109.919657186478,38.9528572235372,8,20140618
